common_name,scientific_name,start_s,end_s,confidence,label,file_index,filename,file_stem,recording_date,recording_start_time,absolute_timestamp,weather_temp_c,weather_conditions,weather_summary,readable_filename,recording_id,datetime,hour
Eurasian Nutcracker,Nucifraga caryocatactes,22068.0,22071.0,0.8904567360877991,Nucifraga caryocatactes_Eurasian Nutcracker,2,245AAA0563ED3DA7_20251014_000000.WAV,245AAA0563ED3DA7_20251014_000000,2025-10-14,00:00:00,2025-10-14 06:07:48,11,"Light rain, passing clouds",Light rain overnight,2025-10-14_Night_LightRain_11C,245AAA0563ED3DA7_20251014_000000.WAV,2025-10-14 06:07:48,6.0
Eurasian Woodcock,Scolopax rusticola,31257.0,31260.0,0.9260644912719728,Scolopax rusticola_Eurasian Woodcock,2,245AAA0563ED3DA7_20251014_000000.WAV,245AAA0563ED3DA7_20251014_000000,2025-10-14,00:00:00,2025-10-14 08:40:57,11,"Light rain, passing clouds",Light rain overnight,2025-10-14_Night_LightRain_11C,245AAA0563ED3DA7_20251014_000000.WAV,2025-10-14 08:40:57,8.0
European Greenfinch,Chloris chloris,31359.0,31362.0,0.7284049391746521,Chloris chloris_European Greenfinch,2,245AAA0563ED3DA7_20251014_000000.WAV,245AAA0563ED3DA7_20251014_000000,2025-10-14,00:00:00,2025-10-14 08:42:39,11,"Light rain, passing clouds",Light rain overnight,2025-10-14_Night_LightRain_11C,245AAA0563ED3DA7_20251014_000000.WAV,2025-10-14 08:42:39,8.0
European Robin,Erithacus rubecula,32253.0,32256.0,0.5534208416938782,Erithacus rubecula_European Robin,2,245AAA0563ED3DA7_20251014_000000.WAV,245AAA0563ED3DA7_20251014_000000,2025-10-14,00:00:00,2025-10-14 08:57:33,11,"Light rain, passing clouds",Light rain overnight,2025-10-14_Night_LightRain_11C,245AAA0563ED3DA7_20251014_000000.WAV,2025-10-14 08:57:33,8.0
European Storm-Petrel,Hydrobates pelagicus,33381.0,33384.0,0.2968698143959045,Hydrobates pelagicus_European Storm-Petrel,4,245AAA0563ED3DA7_20251015_000000.WAV,245AAA0563ED3DA7_20251015_000000,2025-10-15,00:00:00,2025-10-15 09:16:21,10-11,"Passing clouds, broken clouds","Partly cloudy, unsettled",2025-10-15_Night_PartlyCloudy_10-11C,245AAA0563ED3DA7_20251015_000000.WAV,2025-10-15 09:16:21,9.0
Fieldfare,Turdus pilaris,24174.0,24177.0,0.43946173787117,Turdus pilaris_Fieldfare,2,245AAA0563ED3DA7_20251014_000000.WAV,245AAA0563ED3DA7_20251014_000000,2025-10-14,00:00:00,2025-10-14 06:42:54,11,"Light rain, passing clouds",Light rain overnight,2025-10-14_Night_LightRain_11C,245AAA0563ED3DA7_20251014_000000.WAV,2025-10-14 06:42:54,6.0
Gray Heron,Ardea cinerea,36996.0,36999.0,0.283381313085556,Ardea cinerea_Gray Heron,4,245AAA0563ED3DA7_20251015_000000.WAV,245AAA0563ED3DA7_20251015_000000,2025-10-15,00:00:00,2025-10-15 10:16:36,10-11,"Passing clouds, broken clouds","Partly cloudy, unsettled",2025-10-15_Night_PartlyCloudy_10-11C,245AAA0563ED3DA7_20251015_000000.WAV,2025-10-15 10:16:36,10.0
Gray Wagtail,Motacilla cinerea,27846.0,27849.0,0.6414146423339844,Motacilla cinerea_Gray Wagtail,2,245AAA0563ED3DA7_20251014_000000.WAV,245AAA0563ED3DA7_20251014_000000,2025-10-14,00:00:00,2025-10-14 07:44:06,11,"Light rain, passing clouds",Light rain overnight,2025-10-14_Night_LightRain_11C,245AAA0563ED3DA7_20251014_000000.WAV,2025-10-14 07:44:06,7.0
Graylag Goose,Anser anser,35760.0,35763.0,0.9828774929046632,Anser anser_Graylag Goose,4,245AAA0563ED3DA7_20251015_000000.WAV,245AAA0563ED3DA7_20251015_000000,2025-10-15,00:00:00,2025-10-15 09:56:00,10-11,"Passing clouds, broken clouds","Partly cloudy, unsettled",2025-10-15_Night_PartlyCloudy_10-11C,245AAA0563ED3DA7_20251015_000000.WAV,2025-10-15 09:56:00,9.0
Great Black-backed Gull,Larus marinus,34350.0,34353.0,0.2650857865810394,Larus marinus_Great Black-backed Gull,4,245AAA0563ED3DA7_20251015_000000.WAV,245AAA0563ED3DA7_20251015_000000,2025-10-15,00:00:00,2025-10-15 09:32:30,10-11,"Passing clouds, broken clouds","Partly cloudy, unsettled",2025-10-15_Night_PartlyCloudy_10-11C,245AAA0563ED3DA7_20251015_000000.WAV,2025-10-15 09:32:30,9.0
Great Gray Shrike,Lanius excubitor,23088.0,23091.0,0.4330466091632843,Lanius excubitor_Great Gray Shrike,2,245AAA0563ED3DA7_20251014_000000.WAV,245AAA0563ED3DA7_20251014_000000,2025-10-14,00:00:00,2025-10-14 06:24:48,11,"Light rain, passing clouds",Light rain overnight,2025-10-14_Night_LightRain_11C,245AAA0563ED3DA7_20251014_000000.WAV,2025-10-14 06:24:48,6.0
Great Snipe,Gallinago media,29487.0,29490.0,0.5773224830627441,Gallinago media_Great Snipe,2,245AAA0563ED3DA7_20251014_000000.WAV,245AAA0563ED3DA7_20251014_000000,2025-10-14,00:00:00,2025-10-14 08:11:27,11,"Light rain, passing clouds",Light rain overnight,2025-10-14_Night_LightRain_11C,245AAA0563ED3DA7_20251014_000000.WAV,2025-10-14 08:11:27,8.0
Greater White-fronted Goose,Anser albifrons,25749.0,25752.0,0.5225813388824463,Anser albifrons_Greater White-fronted Goose,4,245AAA0563ED3DA7_20251015_000000.WAV,245AAA0563ED3DA7_20251015_000000,2025-10-15,00:00:00,2025-10-15 07:09:09,10-11,"Passing clouds, broken clouds","Partly cloudy, unsettled",2025-10-15_Night_PartlyCloudy_10-11C,245AAA0563ED3DA7_20251015_000000.WAV,2025-10-15 07:09:09,7.0
Hooded Crow,Corvus cornix,33114.0,33117.0,0.6057105660438538,Corvus cornix_Hooded Crow,4,245AAA0563ED3DA7_20251015_000000.WAV,245AAA0563ED3DA7_20251015_000000,2025-10-15,00:00:00,2025-10-15 09:11:54,10-11,"Passing clouds, broken clouds","Partly cloudy, unsettled",2025-10-15_Night_PartlyCloudy_10-11C,245AAA0563ED3DA7_20251015_000000.WAV,2025-10-15 09:11:54,9.0
